Transaction ID,Posting Date,Effective Date,Transaction Type,Amount,Check Number,Reference Number,Description,Transaction Category,Type,Balance,Memo,Extended Description
100104,2026-04-15,2026-04-15,Debit,-169.97,,REF100104,Starbucks,Coffee,Expense,25005.99,,Starbucks transaction
100105,2026-04-16,2026-04-16,Debit,-19.85,,REF100105,Walmart,Groceries,Expense,24986.14,,Walmart transaction
100106,2026-04-17,2026-04-17,Debit,-201.15,,REF100106,Netflix,Entertainment,Expense,24784.99,,Netflix transaction
100107,2026-04-18,2026-04-18,Debit,-65.92,,REF100107,Walmart,Groceries,Expense,24719.07,,Walmart transaction
100108,2026-04-19,2026-04-19,Debit,-136.39,,REF100108,Chevron,Gas,Expense,24582.68,,Chevron transaction
100109,2026-04-20,2026-04-20,Debit,-108.36,,REF100109,Smith's,Groceries,Expense,24474.32,,Smith's transaction
100110,2026-04-21,2026-04-21,Debit,-118.34,,REF100110,Spotify,Entertainment,Expense,24355.98,,Spotify transaction
100111,2026-04-22,2026-04-22,Debit,-113.57,,REF100111,Walmart,Groceries,Expense,24242.41,,Walmart transaction
100112,2026-04-23,2026-04-23,Credit,1327.28,,REF100112,Payroll,Income,Income,25569.69,,Payroll transaction
100113,2026-04-24,2026-04-24,Credit,2286.84,,REF100113,Payroll,Income,Income,27856.53,,Payroll transaction
100114,2026-04-25,2026-04-25,Debit,-231.96,,REF100114,Walmart,Groceries,Expense,27624.57,,Walmart transaction
100115,2026-04-26,2026-04-26,Debit,-45.75,,REF100115,Chevron,Gas,Expense,27578.82,,Chevron transaction
100116,2026-04-27,2026-04-27,Debit,-122.93,,REF100116,Target,Shopping,Expense,27455.89,,Target transaction
100117,2026-04-28,2026-04-28,Debit,-226.1,,REF100117,Amazon,Shopping,Expense,27229.79,,Amazon transaction
100118,2026-04-29,2026-04-29,Debit,-97.85,,REF100118,Smith's,Groceries,Expense,27131.94,,Smith's transaction
100119,2026-04-30,2026-04-30,Debit,-69.97,,REF100119,Amazon,Shopping,Expense,27061.97,,Amazon transaction
100120,2026-05-01,2026-05-01,Debit,-74.89,,REF100120,Target,Shopping,Expense,26987.08,,Target transaction
100121,2026-05-02,2026-05-02,Credit,2060.43,,REF100121,Payroll,Income,Income,29047.51,,Payroll transaction
100122,2026-05-03,2026-05-03,Debit,-42.93,,REF100122,Target,Shopping,Expense,29004.58,,Target transaction
100123,2026-05-04,2026-05-04,Debit,-58.34,,REF100123,Spotify,Entertainment,Expense,28946.24,,Spotify transaction
100124,2026-05-05,2026-05-05,Debit,-146.9,,REF100124,Starbucks,Coffee,Expense,28799.34,,Starbucks transaction
100125,2026-05-06,2026-05-06,Credit,1279.24,,REF100125,Payroll,Income,Income,30078.58,,Payroll transaction
100126,2026-05-07,2026-05-07,Debit,-19.01,,REF100126,Netflix,Entertainment,Expense,30059.57,,Netflix transaction
100127,2026-05-08,2026-05-08,Debit,-121.81,,REF100127,Rent Payment,Housing,Expense,29937.76,,Rent Payment transaction
100128,2026-05-09,2026-05-09,Credit,1404.66,,REF100128,Payroll,Income,Income,31342.42,,Payroll transaction
100129,2026-05-10,2026-05-10,Credit,1304.14,,REF100129,Payroll,Income,Income,32646.56,,Payroll transaction
100130,2026-05-11,2026-05-11,Debit,-21.79,,REF100130,Smith's,Groceries,Expense,32624.77,,Smith's transaction
100131,2026-05-12,2026-05-12,Debit,-170.43,,REF100131,Walmart,Groceries,Expense,32454.34,,Walmart transaction
100132,2026-05-13,2026-05-13,Debit,-103.93,,REF100132,Chevron,Gas,Expense,32350.41,,Chevron transaction
100133,2026-05-14,2026-05-14,Debit,-65.32,,REF100133,Rent Payment,Housing,Expense,32285.09,,Rent Payment transaction
100134,2026-05-15,2026-05-15,Debit,-14.74,,REF100134,Rent Payment,Housing,Expense,32270.35,,Rent Payment transaction
100135,2026-05-16,2026-05-16,Debit,-107.71,,REF100135,Walmart,Groceries,Expense,32162.64,,Walmart transaction
100136,2026-05-17,2026-05-17,Debit,-143.48,,REF100136,Rent Payment,Housing,Expense,32019.16,,Rent Payment transaction
100137,2026-05-18,2026-05-18,Debit,-234.0,,REF100137,Netflix,Entertainment,Expense,31785.16,,Netflix transaction
100138,2026-05-19,2026-05-19,Debit,-169.08,,REF100138,Chevron,Gas,Expense,31616.08,,Chevron transaction
100139,2026-05-20,2026-05-20,Debit,-63.48,,REF100139,Netflix,Entertainment,Expense,31552.6,,Netflix transaction
100140,2026-05-21,2026-05-21,Debit,-37.07,,REF100140,Amazon,Shopping,Expense,31515.53,,Amazon transaction
100141,2026-05-22,2026-05-22,Debit,-117.02,,REF100141,Spotify,Entertainment,Expense,31398.51,,Spotify transaction
100142,2026-05-23,2026-05-23,Debit,-7.28,,REF100142,Walmart,Groceries,Expense,31391.23,,Walmart transaction
100143,2026-05-24,2026-05-24,Debit,-249.62,,REF100143,Rent Payment,Housing,Expense,31141.61,,Rent Payment transaction
100144,2026-05-25,2026-05-25,Debit,-22.95,,REF100144,Walmart,Groceries,Expense,31118.66,,Walmart transaction
100145,2026-05-26,2026-05-26,Debit,-128.94,,REF100145,Chevron,Gas,Expense,30989.72,,Chevron transaction
100146,2026-05-27,2026-05-27,Debit,-233.65,,REF100146,Smith's,Groceries,Expense,30756.07,,Smith's transaction
100147,2026-05-28,2026-05-28,Debit,-220.42,,REF100147,Walmart,Groceries,Expense,30535.65,,Walmart transaction
100148,2026-05-29,2026-05-29,Debit,-74.82,,REF100148,Netflix,Entertainment,Expense,30460.83,,Netflix transaction
100149,2026-05-30,2026-05-30,Debit,-209.27,,REF100149,Target,Shopping,Expense,30251.56,,Target transaction
100150,2026-05-31,2026-05-31,Debit,-154.86,,REF100150,Spotify,Entertainment,Expense,30096.7,,Spotify transaction
100151,2026-06-01,2026-06-01,Credit,1210.17,,REF100151,Payroll,Income,Income,31306.87,,Payroll transaction
100152,2026-06-02,2026-06-02,Credit,1589.19,,REF100152,Payroll,Income,Income,32896.06,,Payroll transaction
100153,2026-06-03,2026-06-03,Debit,-235.04,,REF100153,Walmart,Groceries,Expense,32661.02,,Walmart transaction
100154,2026-06-04,2026-06-04,Debit,-69.79,,REF100154,Smith's,Groceries,Expense,32591.23,,Smith's transaction
100155,2026-06-05,2026-06-05,Debit,-186.89,,REF100155,Walmart,Groceries,Expense,32404.34,,Walmart transaction
100156,2026-06-06,2026-06-06,Debit,-71.73,,REF100156,Smith's,Groceries,Expense,32332.61,,Smith's transaction
100157,2026-06-07,2026-06-07,Debit,-56.6,,REF100157,Rent Payment,Housing,Expense,32276.01,,Rent Payment transaction
100158,2026-06-08,2026-06-08,Debit,-54.88,,REF100158,Netflix,Entertainment,Expense,32221.13,,Netflix transaction
100159,2026-06-09,2026-06-09,Debit,-128.83,,REF100159,Spotify,Entertainment,Expense,32092.3,,Spotify transaction
100160,2026-06-10,2026-06-10,Debit,-226.81,,REF100160,Spotify,Entertainment,Expense,31865.49,,Spotify transaction
100161,2026-06-11,2026-06-11,Debit,-27.61,,REF100161,Starbucks,Coffee,Expense,31837.88,,Starbucks transaction
100162,2026-06-12,2026-06-12,Debit,-208.19,,REF100162,Amazon,Shopping,Expense,31629.69,,Amazon transaction
100163,2026-06-13,2026-06-13,Debit,-5.87,,REF100163,Starbucks,Coffee,Expense,31623.82,,Starbucks transaction
100164,2026-06-14,2026-06-14,Debit,-161.09,,REF100164,Smith's,Groceries,Expense,31462.73,,Smith's transaction
100165,2026-06-15,2026-06-15,Debit,-44.59,,REF100165,Spotify,Entertainment,Expense,31418.14,,Spotify transaction
100166,2026-06-16,2026-06-16,Debit,-140.16,,REF100166,Target,Shopping,Expense,31277.98,,Target transaction
100167,2026-06-17,2026-06-17,Debit,-142.42,,REF100167,Amazon,Shopping,Expense,31135.56,,Amazon transaction
100168,2026-06-18,2026-06-18,Debit,-23.43,,REF100168,Walmart,Groceries,Expense,31112.13,,Walmart transaction
100169,2026-06-19,2026-06-19,Debit,-138.67,,REF100169,Smith's,Groceries,Expense,30973.46,,Smith's transaction
100170,2026-06-20,2026-06-20,Debit,-147.71,,REF100170,Netflix,Entertainment,Expense,30825.75,,Netflix transaction
100171,2026-06-21,2026-06-21,Debit,-110.3,,REF100171,Smith's,Groceries,Expense,30715.45,,Smith's transaction
100172,2026-06-22,2026-06-22,Debit,-80.52,,REF100172,Starbucks,Coffee,Expense,30634.93,,Starbucks transaction
100173,2026-06-23,2026-06-23,Debit,-225.24,,REF100173,Starbucks,Coffee,Expense,30409.69,,Starbucks transaction
100174,2026-06-24,2026-06-24,Debit,-172.11,,REF100174,Chevron,Gas,Expense,30237.58,,Chevron transaction
100175,2026-06-25,2026-06-25,Debit,-91.65,,REF100175,Walmart,Groceries,Expense,30145.93,,Walmart transaction
100176,2026-06-26,2026-06-26,Credit,2349.38,,REF100176,Payroll,Income,Income,32495.31,,Payroll transaction
100177,2026-06-27,2026-06-27,Debit,-243.59,,REF100177,Amazon,Shopping,Expense,32251.72,,Amazon transaction
100178,2026-06-28,2026-06-28,Debit,-231.81,,REF100178,Smith's,Groceries,Expense,32019.91,,Smith's transaction
100179,2026-06-29,2026-06-29,Debit,-216.83,,REF100179,Chevron,Gas,Expense,31803.08,,Chevron transaction
100180,2026-01-01,2026-01-01,Debit,-220.95,,REF100180,Smith's,Groceries,Expense,31582.13,,Smith's transaction
100181,2026-01-02,2026-01-02,Debit,-48.94,,REF100181,Starbucks,Coffee,Expense,31533.19,,Starbucks transaction
100182,2026-01-03,2026-01-03,Debit,-196.68,,REF100182,Netflix,Entertainment,Expense,31336.51,,Netflix transaction
100183,2026-01-04,2026-01-04,Debit,-201.55,,REF100183,Amazon,Shopping,Expense,31134.96,,Amazon transaction
100184,2026-01-05,2026-01-05,Debit,-70.37,,REF100184,Chevron,Gas,Expense,31064.59,,Chevron transaction
100185,2026-01-06,2026-01-06,Debit,-98.72,,REF100185,Walmart,Groceries,Expense,30965.87,,Walmart transaction
100186,2026-01-07,2026-01-07,Debit,-215.36,,REF100186,Starbucks,Coffee,Expense,30750.51,,Starbucks transaction
100187,2026-01-08,2026-01-08,Debit,-53.9,,REF100187,Chevron,Gas,Expense,30696.61,,Chevron transaction
100188,2026-01-09,2026-01-09,Debit,-90.67,,REF100188,Target,Shopping,Expense,30605.94,,Target transaction
100189,2026-01-10,2026-01-10,Debit,-59.62,,REF100189,Chevron,Gas,Expense,30546.32,,Chevron transaction
100190,2026-01-11,2026-01-11,Debit,-102.62,,REF100190,Chevron,Gas,Expense,30443.7,,Chevron transaction
100191,2026-01-12,2026-01-12,Debit,-216.77,,REF100191,Spotify,Entertainment,Expense,30226.93,,Spotify transaction
100192,2026-01-13,2026-01-13,Debit,-91.03,,REF100192,Spotify,Entertainment,Expense,30135.9,,Spotify transaction
100193,2026-01-14,2026-01-14,Credit,1719.58,,REF100193,Payroll,Income,Income,31855.48,,Payroll transaction
100194,2026-01-15,2026-01-15,Credit,1630.49,,REF100194,Payroll,Income,Income,33485.97,,Payroll transaction
100195,2026-01-16,2026-01-16,Debit,-33.26,,REF100195,Starbucks,Coffee,Expense,33452.71,,Starbucks transaction
100196,2026-01-17,2026-01-17,Debit,-48.75,,REF100196,Spotify,Entertainment,Expense,33403.96,,Spotify transaction
100197,2026-01-18,2026-01-18,Debit,-14.37,,REF100197,Spotify,Entertainment,Expense,33389.59,,Spotify transaction
100198,2026-01-19,2026-01-19,Debit,-111.47,,REF100198,Rent Payment,Housing,Expense,33278.12,,Rent Payment transaction
100199,2026-01-20,2026-01-20,Debit,-111.92,,REF100199,Netflix,Entertainment,Expense,33166.2,,Netflix transaction
100200,2026-01-21,2026-01-21,Credit,1350.34,,REF100200,Payroll,Income,Income,34516.54,,Payroll transaction
100201,2026-01-22,2026-01-22,Debit,-51.57,,REF100201,Rent Payment,Housing,Expense,34464.97,,Rent Payment transaction
100202,2026-01-23,2026-01-23,Debit,-178.65,,REF100202,Starbucks,Coffee,Expense,34286.32,,Starbucks transaction
100203,2026-01-24,2026-01-24,Debit,-132.38,,REF100203,Starbucks,Coffee,Expense,34153.94,,Starbucks transaction
100204,2026-01-25,2026-01-25,Credit,2092.91,,REF100204,Payroll,Income,Income,36246.85,,Payroll transaction
100205,2026-01-26,2026-01-26,Debit,-94.23,,REF100205,Chevron,Gas,Expense,36152.62,,Chevron transaction
100206,2026-01-27,2026-01-27,Debit,-237.47,,REF100206,Walmart,Groceries,Expense,35915.15,,Walmart transaction
100207,2026-01-28,2026-01-28,Debit,-157.67,,REF100207,Netflix,Entertainment,Expense,35757.48,,Netflix transaction
100208,2026-01-29,2026-01-29,Debit,-181.34,,REF100208,Walmart,Groceries,Expense,35576.14,,Walmart transaction
100209,2026-01-30,2026-01-30,Debit,-129.25,,REF100209,Spotify,Entertainment,Expense,35446.89,,Spotify transaction
100210,2026-01-31,2026-01-31,Debit,-84.91,,REF100210,Amazon,Shopping,Expense,35361.98,,Amazon transaction
100211,2026-02-01,2026-02-01,Debit,-140.83,,REF100211,Spotify,Entertainment,Expense,35221.15,,Spotify transaction
100212,2026-02-02,2026-02-02,Debit,-108.01,,REF100212,Chevron,Gas,Expense,35113.14,,Chevron transaction
100213,2026-02-03,2026-02-03,Debit,-170.94,,REF100213,Amazon,Shopping,Expense,34942.2,,Amazon transaction
100214,2026-02-04,2026-02-04,Debit,-155.8,,REF100214,Smith's,Groceries,Expense,34786.4,,Smith's transaction
100215,2026-02-05,2026-02-05,Debit,-104.49,,REF100215,Spotify,Entertainment,Expense,34681.91,,Spotify transaction
100216,2026-02-06,2026-02-06,Debit,-79.45,,REF100216,Starbucks,Coffee,Expense,34602.46,,Starbucks transaction
100217,2026-02-07,2026-02-07,Debit,-110.32,,REF100217,Chevron,Gas,Expense,34492.14,,Chevron transaction
100218,2026-02-08,2026-02-08,Debit,-153.63,,REF100218,Rent Payment,Housing,Expense,34338.51,,Rent Payment transaction
100219,2026-02-09,2026-02-09,Debit,-118.92,,REF100219,Netflix,Entertainment,Expense,34219.59,,Netflix transaction
100220,2026-02-10,2026-02-10,Debit,-170.53,,REF100220,Target,Shopping,Expense,34049.06,,Target transaction
100221,2026-02-11,2026-02-11,Credit,1815.14,,REF100221,Payroll,Income,Income,35864.2,,Payroll transaction
100222,2026-02-12,2026-02-12,Debit,-166.42,,REF100222,Smith's,Groceries,Expense,35697.78,,Smith's transaction
100223,2026-02-13,2026-02-13,Debit,-131.29,,REF100223,Spotify,Entertainment,Expense,35566.49,,Spotify transaction
100224,2026-02-14,2026-02-14,Debit,-87.12,,REF100224,Rent Payment,Housing,Expense,35479.37,,Rent Payment transaction
100225,2026-02-15,2026-02-15,Debit,-169.83,,REF100225,Chevron,Gas,Expense,35309.54,,Chevron transaction
100226,2026-02-16,2026-02-16,Debit,-202.61,,REF100226,Chevron,Gas,Expense,35106.93,,Chevron transaction
100227,2026-02-17,2026-02-17,Debit,-10.98,,REF100227,Smith's,Groceries,Expense,35095.95,,Smith's transaction
100228,2026-02-18,2026-02-18,Debit,-246.06,,REF100228,Chevron,Gas,Expense,34849.89,,Chevron transaction
100229,2026-02-19,2026-02-19,Debit,-213.19,,REF100229,Rent Payment,Housing,Expense,34636.7,,Rent Payment transaction
100230,2026-02-20,2026-02-20,Debit,-116.58,,REF100230,Walmart,Groceries,Expense,34520.12,,Walmart transaction
